Date,Open,High,Low,Close,Adj Close,Volume,Day
10/19/1981,5.0713,5.113443,5.0713,5.0713,3.539029,1800,1306
10/20/1981,5.436546,5.478689,5.436546,5.436546,3.793918,24600,1307
10/21/1981,5.40845,5.40845,5.380354,5.380354,3.754703,13400,1308
10/22/1981,5.380354,5.380354,5.380354,5.380354,3.754703,0,1309
10/23/1981,5.310114,5.310114,5.282019,5.282019,3.686081,6200,1310
10/26/1981,5.127491,5.127491,5.099395,5.099395,3.558636,1300,1311
10/27/1981,5.099395,5.099395,5.099395,5.099395,3.558636,0,1312
10/28/1981,5.099395,5.099395,5.099395,5.099395,3.558636,0,1313
10/29/1981,5.436546,5.464642,5.436546,5.436546,3.793918,4400,1314
10/30/1981,5.450593,5.492737,5.450593,5.450593,3.803722,11700,1315
11/2/1981,5.619169,5.661313,5.619169,5.619169,3.921361,1800,1316
11/3/1981,5.619169,5.619169,5.619169,5.619169,3.921361,0,1317
11/4/1981,5.731552,5.759648,5.731552,5.731552,3.999789,5200,1318
11/5/1981,5.7456,5.759648,5.7456,5.7456,4.009593,56400,1319
11/6/1981,5.914175,5.942271,5.914175,5.914175,4.127233,36800,1320
11/9/1981,5.829887,5.829887,5.801792,5.801792,4.048806,9300,1321
11/10/1981,5.787744,5.787744,5.759648,5.759648,4.019395,6200,1322
11/11/1981,5.759648,5.759648,5.759648,5.759648,4.019395,0,1323
11/12/1981,5.759648,5.759648,5.759648,5.759648,4.019395,0,1324
11/13/1981,5.872031,5.900127,5.872031,5.872031,4.097822,1300,1325
11/16/1981,5.900127,5.942271,5.900127,5.900127,4.11743,500,1326
11/17/1981,5.900127,5.900127,5.900127,5.900127,4.11743,0,1327
11/18/1981,5.829887,5.829887,5.787744,5.787744,4.039003,4400,1328
11/19/1981,5.815839,5.843935,5.815839,5.815839,4.058609,4400,1329
11/20/1981,5.829887,5.857983,5.829887,5.829887,4.068413,12600,1330
11/23/1981,5.857983,5.900127,5.857983,5.857983,4.08802,1800,1331
11/24/1981,5.801792,5.801792,5.773696,5.773696,4.0292,12600,1332
